id;nome;esfera;categoria;uf;criado_em;Ano do ato legal mais recente;Ato Legal de Criação;municipios;area;amazonia;caatinga;cerrado;mata;pampa;pantanal;mar;bioma;grupo;latitude;longitude
0000.00.1045;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO JACU;Federal;Reserva Particular do Patrimônio Natural;SP;2001;2001;Portaria 52/2001 de 23/04/2001;CARAGUATATUBA (SP);2.0;0;0;0;2;0;0;0;Mata Atlântica;Uso Sustentável;-23.6125;-45.4125
0000.00.1047;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO CURUCUTU;Federal;Reserva Particular do Patrimônio Natural;SP;1995;1995;Portaria 102/95-N de 20/12/1995;SÃO PAULO (SP);11.0;0;0;0;11;0;0;0;Mata Atlântica;Uso Sustentável;-23.5329;-46.6395
0000.00.1049;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS II;Federal;Reserva Particular do Patrimônio Natural;SP;2001;2001;Portaria 149/2001 de 24/10/2001;IBIÚNA (SP);145.0;0;0;0;145;0;0;0;Mata Atlântica;Uso Sustentável;-23.6596;-47.223
0000.00.1050;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA AMADEU BOTELHO;Federal;Reserva Particular do Patrimônio Natural;SP;2000;2000;Portaria 19 de 27/03/2000;JAÚ (SP);142.0;0;0;0;142;0;0;0;Mata Atlântica;Uso Sustentável;-22.2936;-48.5592
0000.00.1051;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE FLORESTAL SÃO MARCELO;Federal;Reserva Particular do Patrimônio Natural;SP;2002;2002;Portaria 120 de 18/09/2002;MOGI MIRIM (SP);186.0;0;0;0;186;0;0;0;Mata Atlântica;Uso Sustentável;-22.4332;-46.9532
0000.00.1052;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PITHON;Federal;Reserva Particular do Patrimônio Natural;SP;1997;1997;Portaria 11 de 24/02/1997;ARAÇARIGUAMA (SP);26.0;0;0;0;26;0;0;0;Mata Atlântica;Uso Sustentável;-23.4366;-47.0608
0000.00.1054;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SILVO AGRO-PASTORIL GONÇALVES;Federal;Reserva Particular do Patrimônio Natural;SP;1999;1999;Portaria 102/19-N de 24/11/1999;TAPIRAÍ (SP);61.0;0;0;0;61;0;0;0;Mata Atlântica;Uso Sustentável;-23.9612;-47.5062
0000.00.1055;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA NEGRA, PARQUE NATURAL PARA ESTUDOS, PESQUISA E EDUCAÇÃO AMBIENTAL;Federal;Reserva Particular do Patrimônio Natural;SP;2001;2001;Portaria 104 de 03/09/2001;ARAÇOIABA DA SERRA (SP);7.0;0;0;0;7;0;0;0;Mata Atlântica;Uso Sustentável;-23.5029;-47.6166
0000.00.1056;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SAN MICHELE;Federal;Reserva Particular do Patrimônio Natural;SP;2001;2001;Portaria 57 de 23/04/2001;SÃO JOSÉ DOS CAMPOS (SP);41.0;0;0;0;41;0;0;0;Mata Atlântica;Uso Sustentável;-23.1896;-45.8841
0000.00.1058;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA RELÓGIO QUEIMADO;Federal;Reserva Particular do Patrimônio Natural;SP;2002;2002;Portaria 56 de 18/04/2002;CAFELÂNDIA (SP);111.0;0;0;0;111;0;0;0;Mata Atlântica;Uso Sustentável;-21.8031;-49.6092
